"Land Area","Unit","2014","S_2014"
"Seychelles","t","75146",""
"Sierra Leone","t","206477",""
"Singapore","t","1433",""
"Singapore","no","2979",""
"Sint Maarten","t","253","F"
"Slovakia","t","1986","F"
"Slovenia","t","410.5",""
"Solomon Islands","t","71313.02",""
"Somalia","t","30000","F"
"South Africa","t","609513",""
"South Africa","no","121691",""
"South Sudan","t","37000","F"
"Spain","t","1111694",""
"Spain","no","3",""
"Sri Lanka","t","537824",""
"St. Pierre and Miquelon","t","2669",""
"Sudan","t","34008","F"
"Suriname","t","38358",""
"Swaziland","t","65","F"
"Sweden","t","182659",""
"Switzerland","t","2129",""
"Syrian Arab Republic","t","4300","F"
"Taiwan Province of China","t","1068407.513",""
"Taiwan Province of China","no","32",""
"Tajikistan","t","1174",""
"Tanzania, United Rep. of","t","343133",""
"Tanzania, United Rep. of","no","1287",""
"Thailand","t","1769546",""
"Thailand","no","33962",""
"Timor-Leste","t","3200","F"
"Togo","t","19862",""
"Tokelau","t","105",""
"Tonga","t","2104","F"
"Trinidad and Tobago","t","13000","F"
"Tunisia","t","112046.8",""
"Turkey","t","302214",""
"Turkmenistan","t","15000","F"
"Turks and Caicos Is.","t","2403",""
"Tuvalu","t","11586",""
"Uganda","t","461196",""
"Ukraine","t","114228",""
"United Arab Emirates","t","70000","F"
"United Kingdom","t","755690",""
"United Kingdom","no","14",""
"United States of America","t","4984480.509",""
"United States of America","no","486287",""
"Uruguay","t","65082",""
"Uruguay","no","106",""
"US Virgin Islands","t","489",""
"Uzbekistan","t","22514","F"
"Vanuatu","t","67695.2",""
"Venezuela, Boliv Rep of","t","209721",""
"Venezuela, Boliv Rep of","no","16696",""
"Viet Nam","t","2919200",""
"Viet Nam","no","20580",""
"Wallis and Futuna Is.","t","830","F"
"Yemen","t","190000","F"
"Zambia","t","80826",""
"Zambia","no","44233",""
"Zanzibar","t","32872",""
"Zimbabwe","t","10500","F"
"Zimbabwe","no","130718",""
